tipo,entrada,esperado,descripcion
correo,juan.perez@empresa.com,True,correo válido estándar
correo,juan@,False,falta dominio y extensión
correo,@empresa.com,False,falta usuario
correo,juan..perez@empresa.com,True,doble punto en usuario
correo,juan@empresa.c,False,extensión de 1 carácter
telefono,3001234567,True,móvil colombiano válido
telefono,+573001234567,True,con prefijo internacional
telefono,1234567,False,muy corto
telefono,3001234567890,False,muy largo
cedula,1020304050,True,cédula válida 10 dígitos
cedula,0123456789,False,empieza en cero
cedula,123,False,muy corta
fecha,15/03/1995,True,fecha válida
fecha,31/02/2000,False,febrero no tiene 31 días
fecha,15-13-1990,False,mes 13 no existe
url,https://empresa.com/empleados,True,URL válida con ruta
url,http://,False,sin dominio
url,empresa.com,False,sin protocolo
placa,ABC123,True,placa vehículo válida
placa,AB12,False,formato incorrecto
